What does "CNC" stand for in kink communities?	Consensual Non-Consent	Consensual Nurture Care	Creative Non-Conformity	Casual Nookie Club	fetishes
What is a "Top"?	The person performing an action or sensation	The person receiving	The rope used in bondage	A type of collar	relationships
What does "Sub" refer to?	A submissive partner	A substitute role	A subwoofer	A subscription	fetishes
Which term describes someone attracted to multiple genders?	Pansexual	Polyamorous	Polygamous	Panromantic	orientation
What is "Aftercare"?	Post-scene emotional/physical care	A style of bondage	A second scene	Cleaning toys	relationships
What is a "Primal" player?	Focus on raw animalistic instincts	One who only does rope	One who avoids touch	A beginner	fetishes
What does "Switch" mean?	Enjoys both top and bottom roles	A type of whip	A leather garment	A safe word	relationships
What is "Rope Bunny"?	Person who enjoys being tied	A rabbit fur toy	A harness style	A bondage knot	fetishes
What does "Ace" stand for in orientation?	Asexual	Allosexual	Aromantic	Agoraphilic	orientation
What is "SSC"?	Safe, Sane and Consensual	Soft, Slow, Caring	Strong Submissive Core	Safe Sensory Control	fetishes
What does "LDR" mean?	Long Distance Relationship	Leather Dominance Rule	Low Drive Routine	Latex Dress Rule	relationships
What is "Pup Play"?	A petplay identity focusing on dog role	A puppy training collar	A leather hood	Young submissive	fetishes
What does "Demisexual" refer to?	Needs emotional bond to feel attraction	Attracted to demons	Low libido	Multiple attractions	orientation
What is a "D-type"?	Dominant identity person	Submissive dog role	Dungeon type	D-type collar	relationships
What does "Voyeur" mean?	Enjoys watching others	Enjoys being watched	Enjoys pain	Enjoys service	fetishes
What is "Exhibitionist"?	Likes to be watched	Likes to watch	Likes impact play	Likes rope	fetishes
What does "Sapiosexual" describe?	Attracted to intelligence	Attracted to body	Attracted to status	Attracted to touch	orientation
What is a "Scene" in BDSM?	A planned kinky interaction	A safety signal	A prop	A piece of furniture	relationships
What does "TNG" mean in FetLife groups?	The Next Generation	Totally New Group	Teaching New Guards	Tied & Gagged	relationships
What is "Mummification"?	Wrapping in plastic/tape	A type of latex suit	A rope harness	A leather binding	fetishes
What does "Omnisexual" mean?	Attraction to all genders, gender-aware	Attraction to objects	Attraction to one	Attraction to non-binary only	orientation
What is a "Service Top"?	Tops to fulfill bottom's fantasy	Dominant service provider	A switch role	A bottom who tops	relationships
What does "Gear" refer to?	Equipment like cuffs, floggers	Car transmission	Scene outfit	Leather vest	fetishes
What is a "Little" in ageplay?	Someone who regresses to younger mindset	Small submissive	Short person	A small toy	relationships
What does "Graysexual" indicate?	Between asexual and sexual	Full sexual	High libido	Only kinky sex	orientation
What is "Figging"?	Using ginger root for sensation	Using figs for play	A flogging technique	A knife play	fetishes
What is "Vetting" in kink?	Background/trust check	A type of rope	Medical exam	Scene negotiation	relationships
What is a "Rigger"?	Person who ties rope bondage	Rope bottom	Leather crafter	Dungeon master	fetishes
What does "Androsexual" mean?	Attracted to masculinity	Attracted to femininity	Attracted to both	Attracted to androgyny	orientation
What is "Queening"?	Facesitting activity	A royal title	A type of whip	A submissive ritual	fetishes
